%  columns="iteration, evaluation, min max(neg(.)) min(pos(.)) max correlation, correlation matrix principle axes lengths  (sorted square roots of eigenvalues of correlation matrix)", seed=1068068, Thu Aug 17 17:07:08 2017
22 264 -0.150595729535 -0.000450415580664 0.000223411929412 0.148773932802 0.850102492101 0.859621440073 0.892834832424 0.901551767553 0.933394898697 0.941793892769 0.949757948926 0.959208238349 0.972247527419 0.975807653153 1.00205369571 1.00811497298 1.02259934134 1.0278609487 1.05369158968 1.0606262173 1.06350863649 1.06689698778 1.10498240209 1.26590840673
23 276 -0.152910759173 -9.18787707022e-05 0.00136853012887 0.132358887437 0.850102492101 0.859621440073 0.892834832424 0.901551767553 0.933394898697 0.941793892769 0.949757948926 0.959208238349 0.972247527419 0.975807653153 1.00205369571 1.00811497298 1.02259934134 1.0278609487 1.05369158968 1.0606262173 1.06350863649 1.06689698778 1.10498240209 1.26590840673
24 288 -0.151470000252 -0.000467176777718 3.16082827964e-05 0.123657609451 0.845449704276 0.866196228188 0.887366732123 0.901871611265 0.922372883352 0.93956775222 0.956560786176 0.961067649422 0.967772795121 0.968634082667 0.996143416779 1.00993298078 1.01337023952 1.03614871856 1.0544024474 1.0660963927 1.07189654677 1.08125809703 1.10153458136 1.26273364024
25 300 -0.141798180033 -0.0010959285727 0.000258191511174 0.124392593276 0.845449704276 0.866196228188 0.887366732123 0.901871611265 0.922372883352 0.93956775222 0.956560786176 0.961067649422 0.967772795121 0.968634082667 0.996143416779 1.00993298078 1.01337023952 1.03614871856 1.0544024474 1.0660963927 1.07189654677 1.08125809703 1.10153458136 1.26273364024
26 312 -0.13904148989 -0.0011561192956 0.000220175584814 0.126401062633 0.842292188225 0.868486187972 0.885871919465 0.893864370481 0.924872712397 0.932948863068 0.95178767599 0.963495130572 0.96790030995 0.974619482925 0.990991324378 1.00561676472 1.01740718579 1.05407974797 1.06006542217 1.06303262217 1.07561049586 1.08007524471 1.10457178637 1.252559936
27 324 -0.135849541392 -0.000233417929428 0.000170071902252 0.127865389235 0.842292188225 0.868486187972 0.885871919465 0.893864370481 0.924872712397 0.932948863068 0.95178767599 0.963495130572 0.96790030995 0.974619482925 0.990991324378 1.00561676472 1.01740718579 1.05407974797 1.06006542217 1.06303262217 1.07561049586 1.08007524471 1.10457178637 1.252559936
28 336 -0.121639569862 -0.000184647255739 0.00181744685942 0.117695840216 0.840912237966 0.871253165731 0.881072997847 0.890076946447 0.924693493655 0.930299415 0.944811203491 0.958313921781 0.96538524451 0.980438057305 1.00081669727 1.00281295861 1.0397784777 1.04738514732 1.05543591552 1.06785487412 1.07281257834 1.08220284114 1.09681771899 1.25526924747
29 348 -0.125344806983 -0.000287975941513 0.000194313048607 0.118530159008 0.840912237966 0.871253165731 0.881072997847 0.890076946447 0.924693493655 0.930299415 0.944811203491 0.958313921781 0.96538524451 0.980438057305 1.00081669727 1.00281295861 1.0397784777 1.04738514732 1.05543591552 1.06785487412 1.07281257834 1.08220284114 1.09681771899 1.25526924747
30 360 -0.121303410103 -7.03225794684e-05 0.000175655185004 0.11340060252 0.841141048083 0.865722974485 0.874020009112 0.888796447922 0.908069474914 0.923611056909 0.946830873459 0.95860115428 0.963755813759 0.986783390114 0.998724685542 1.00399097738 1.03321158337 1.04429157754 1.05902700993 1.06532339069 1.0782257986 1.09922768962 1.11223570838 1.25124076831
31 372 -0.12189766751 -0.000807435320691 9.66046598381e-05 0.135537028002 0.841141048083 0.865722974485 0.874020009112 0.888796447922 0.908069474914 0.923611056909 0.946830873459 0.95860115428 0.963755813759 0.986783390114 0.998724685542 1.00399097738 1.03321158337 1.04429157754 1.05902700993 1.06532339069 1.0782257986 1.09922768962 1.11223570838 1.25124076831
